solID,fb_alphas,fb_gammas,fb_thetas,tv_alphas,tv_gammas,tv_thetas,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_204_3,1.98967734048628,0.966818603831523,0.0234532398148175,0.907966890606782,0.943216509283835,0.138233705803222,0,0.0372666347862842,0.123495876853632,0.97424472413145,1,99674.8592939035,0.229897022247314,250.85951590538,3,204,1,1,1221,FALSE,TRUE,14
1_204_4,1.97665133943937,0.993715170966272,0.0166749980748495,1.27712971821529,0.953097230663387,0.0496196134139739,0,0.0241859926298049,0.245641159543424,0.989151899903758,1,90840.0437086584,0.189913988113403,251.051427841187,4,204,1,1,1222,FALSE,TRUE,5
1_204_5,1.96723247603848,0.986836630848573,0.0206575591136416,1.62420188437164,0.957559645573057,0.0182120625248226,0,0.0204871343402536,0.308498723109897,0.992216260696583,1,90828.0182034646,0.155937194824219,251.208364009857,5,204,1,1,1223,FALSE,TRUE,13
1_204_6,1.98837661642849,0.986237916074989,0.0249229821356479,0.386006822865384,0.924598980263197,0.0248973255687944,0,0.0523437784671379,0.0777977497592864,0.949189205017348,0,109402.196825377,0.161926984786987,251.372289896011,6,204,1,1,1224,FALSE,FALSE,
1_205_1,1.96067407037494,0.957473166486275,0.0122067572344023,1.32293936963599,0.891505377651118,0.0351076776237596,0,0.0252042465241247,0.259120447191468,0.988219240528437,1,99672.5859006486,0.160928010940552,251.784099817276,1,205,1,1,1225,FALSE,TRUE,26
1_205_2,1.9688019492184,0.974924332805944,0.00538472474909533,0.764907020889797,0.929074101226374,0.0854614782379795,0,0.0385975746881878,0.0928985395287663,0.972372226687023,1,99691.2113382662,0.186915874481201,251.973014831543,2,205,1,1,1226,FALSE,TRUE,8
1_205_3,1.9922237653162,0.986928957741775,0.0177962794717245,1.08895841457227,0.97517325902008,0.0682499376930276,0,0.0294505238922137,0.200561875343979,0.983915339411533,1,99697.0468320286,0.195916175842285,252.169929981232,3,205,1,1,1227,FALSE,TRUE,10
1_205_4,1.99542520942189,0.966655333560017,0.0260506577750923,0.650463207568163,0.829790353396279,0.124092270661729,0,0.0435940875364917,0.0180389232622263,0.964756337373616,1,99671.64613439,0.179911851882935,252.35284280777,4,205,1,1,1228,FALSE,TRUE,11
1_205_5,1.94559679566444,0.963096219916001,0.0236522946093129,0.741022664159901,0.898870111211671,0.0864920500180969,0,0.0399932503531347,0.0935759547336419,0.970338080290833,1,99655.1024302223,0.180917978286743,252.534760951996,5,205,1,1,1229,FALSE,TRUE,19
1_205_6,1.97469640608119,0.980992114196522,0.026654589110153,0.29625792765133,0.760123064925724,0.121744108993238,0,0.0514644989913902,0.243815857588846,0.95088192363925,0,109389.390298593,0.235893964767456,252.771654844284,6,205,1,1,1230,FALSE,FALSE,
1_206_1,1.98373475103847,0.999742985169736,0.0155281186731327,1.23941457418216,0.572147461656863,0.0763046718094412,0,0.0341191508267813,0.191722936745921,0.978411509402071,1,99704.1674766493,0.220551013946533,253.218103885651,1,206,1,1,1231,FALSE,TRUE,36
1_206_2,1.98831543677158,0.956474894659464,0.0100627572969092,0.843428130225096,0.816426095846764,0.176124167706014,0,0.0425770016731436,0.0708971778115109,0.966381680473746,1,109403.477231708,0.20590090751648,253.42800283432,2,206,1,1,1232,FALSE,TRUE,27
1_206_3,1.96747803419519,0.977107042669307,0.0171687614422329,1.84352276563398,0.886905860709832,0.0444578073846054,0,0.0212742876582803,0.321392342241816,0.991606638937099,1,90827.3108412419,0.169271230697632,253.598273038864,3,206,1,1,1233,FALSE,TRUE,29
1_206_4,1.99610087385796,0.993727214768558,0.00991695794331191,0.421164498194813,0.884521330295298,0.108077252300603,0,0.0493230549304621,0.12462468737486,0.954884498752734,0,120101.249372946,0.170922994613647,253.770193815231,4,206,1,1,1234,FALSE,TRUE,76
1_206_5,1.9796461769447,0.993691406317139,0.00833884260277225,1.11682198909711,0.819850466959979,0.180641966573341,0,0.0369727737909466,0.150199323485629,0.97464930216589,1,99705.1001284113,0.189915895462036,253.961108922958,5,206,1,1,1235,FALSE,TRUE,34
1_206_6,1.98378297558145,0.969652391925204,0.0108519149926959,1.15725402962723,0.972604011789293,0.019961472750974,0,0.0257250418401373,0.234371543951017,0.987727358983072,1,90834.401109723,0.164924144744873,254.12803196907,6,206,1,1,1236,FALSE,TRUE,12
1_207_1,1.95568458303727,0.985520887391139,0.0447669717004381,0.86552596339713,0.885546008237654,0.0616632550894729,0,0.0370362065311277,0.153984606527762,0.974562241147172,1,99612.3964823612,0.188922166824341,254.535856962204,1,207,1,1,1237,FALSE,TRUE,36
1_207_2,1.98772296700124,0.985528135368453,0.00294102889755146,0.96887341731104,0.922492237881576,0.132442949864545,0,0.0353512956278274,0.134232884164676,0.976824104598334,1,99706.1714849471,0.168916940689087,254.7077729702,2,207,1,1,1238,FALSE,TRUE,7
1_207_3,1.95284052932276,0.999513082873423,0.035972891551439,0.934633420184436,0.97914871414747,0.0420859087278568,0,0.0334540709730701,0.185103291218248,0.979244949267568,1,99649.9801612475,0.167923927307129,254.876696825027,3,207,1,1,1239,FALSE,TRUE,29
1_207_4,1.97021447652927,0.989654635072695,0.0223083069300524,0.810661913774529,0.883669990625048,0.107566740993048,0,0.0386652426519826,0.100477081971,0.972275269613176,1,99683.6134821756,0.183916807174683,255.061612844467,4,207,1,1,1240,FALSE,TRUE,14
1_207_5,1.96740474634762,0.989511264453681,0.0245268036498541,0.766720281096524,0.890457306134898,0.0797930045515842,0,0.0391034745230898,0.100082973425712,0.971643243902418,1,99678.3364016742,0.155929803848267,255.218542814255,5,207,1,1,1241,FALSE,TRUE,17
1_207_6,1.9636590063517,0.975660856947387,0.00934666350853931,1.111806009862,0.943231409412215,0.0358909826906852,0,0.0284829778514566,0.219768860793294,0.984954846060193,1,99687.5852257011,0.157932043075562,255.378473997116,6,207,1,1,1242,FALSE,TRUE,21
1_208_1,1.98427959820199,0.99168726496221,0.0144714527404511,1.35809728782703,0.997779877773425,0.0804206935710317,0,0.0237158017976958,0.250893146420412,0.989569587704288,1,90843.8037886401,0.156929969787598,255.810276985168,1,208,1,1,1243,FALSE,TRUE,11
1_208_2,1.94789421077949,0.978196710671378,0.00517223275082923,0.986272820526386,0.88155554419493,0.0734979222455996,0,0.0331021738886243,0.171242507481662,0.979679289771494,1,99685.0470825451,0.167931079864502,255.980206012726,2,208,1,1,1244,FALSE,TRUE,13
1_208_3,1.95340704620668,0.99421213808437,0.0133600113608947,1.37388131350991,0.950463763583224,0.104017728963862,0,0.0253810013840437,0.247809448389535,0.98805342656596,1,90835.660749544,0.199909925460815,256.183106899262,3,208,1,1,1245,FALSE,TRUE,15
1_208_4,1.97859676481464,0.969687366166745,0.00361721502207777,1.14754437253821,0.797065542225904,0.0630988358283413,0,0.0292963619112012,0.202496534995951,0.984083292495695,1,90836.2701865546,0.155930042266846,256.342036008835,4,208,1,1,1246,FALSE,TRUE,8
1_208_5,1.99075066087499,0.971818278739543,0.0122829058701046,0.409042371456311,0.894302741343736,0.143646115903404,0,0.0492353620686522,0.151180276514006,0.955044780406262,0,109413.517034329,0.154927968978882,256.497963905334,5,208,1,1,1247,FALSE,TRUE,79
1_208_6,1.9993003460953,0.980881873196978,0.00374735097060013,0.898785489454415,0.68306325514608,0.0475753408820743,0,0.0377068895253422,0.134182142041573,0.973632602372734,1,99707.3054779754,0.229900121688843,256.729862928391,6,208,1,1,1248,FALSE,TRUE,26
1_209_1,1.99222738412626,0.99405732910424,0.0155496695162827,1.43909427123658,0.985831887200184,0.00498434276145872,0,0.0207375668215108,0.283793686627072,0.992024802473459,1,90846.5252734928,0.201904058456421,257.179658889771,1,209,1,1,1249,FALSE,TRUE,3
1_209_2,1.95427087754813,0.984935226855223,0.0250252695397666,0.353418622449567,0.900667932055037,0.12304733692856,0,0.0502033938586529,0.178529453654933,0.953259645043115,0,109387.35906671,0.184914827346802,257.366572856903,2,209,1,1,1250,FALSE,TRUE,87
1_209_3,1.98967734048628,0.966818603831523,0.0234532398148175,0.907966890606782,0.885851583790397,0.161893262721889,0,0.0391714693679,0.109037506140703,0.971544542209137,1,99674.8592939035,0.157931089401245,257.525502920151,3,209,1,1,1251,FALSE,TRUE,20
1_209_4,1.99912865159976,0.97625548260414,0.0166749980748495,1.27712971821529,0.953097230663387,0.0251816699999647,0,0.0236238079087167,0.251748172955688,0.989650350157643,1,90838.0863218495,0.152929067611694,257.679431915283,4,209,1,1,1252,FALSE,TRUE,11
1_209_5,1.96723247603848,0.986836630848573,0.0206575591136416,1.68976774813322,0.985846939918862,0.0268078071221232,0,0.0205840161935366,0.315914977495798,0.99214246939711,1,90828.0182034646,0.161926984786987,257.843359947205,5,209,1,1,1253,FALSE,TRUE,18
1_209_6,1.98208896744604,0.955590992536956,0.0305642144034014,1.03977687828578,0.924598980263197,0.100523287128131,0,0.0329926557213468,0.182143689254685,0.979813529018156,1,99649.1378093512,0.20591402053833,258.072263002396,6,209,1,1,1254,FALSE,TRUE,23
1_20_1,1.81498965039029,0.666437840029159,0.0788574849879957,1.23883059791669,0.540010908097539,0.121694640938489,0,0.0433033072471673,0.265158183852135,0.96522493228925,1,99041.8730352149,0.144937038421631,21.0193719863892,1,20,1,1,115,FALSE,TRUE,74
1_20_2,0.676150742585184,0.578086369952978,0.0898983523657743,1.52253222295879,0.852900451204116,0.0853670167523399,0,0.0385327829034685,0.561489197280181,0.972464903510373,0,98522.5067287683,0.146932125091553,21.1683030128479,2,20,1,1,116,FALSE,FALSE,
1_20_3,1.53704250321661,0.56781778175563,0.0914661935785732,1.31887361338805,0.407152319115436,0.0876619600285098,0,0.0496939692632526,0.336039070421486,0.954203401172862,0,108328.676814979,0.162928104400635,21.3332300186157,3,20,1,1,117,FALSE,FALSE,
1_20_4,1.26517702570115,0.75094062825124,0.079420848545305,1.23077379338535,0.715025302480078,0.1976906678054,0,0.0464089784508637,0.356528048308839,0.96005799431137,1,108534.537905574,0.14193606376648,21.476166009903,4,20,1,1,118,FALSE,FALSE,
1_20_5,1.42915191292563,0.573570128066502,0.0531343762061601,0.924303393484431,0.979449441313998,0.174444631445211,0,0.0455219645477342,0.292186757262762,0.961570224812833,1,98895.3503803076,0.170922994613647,21.6490879058838,5,20,1,1,119,FALSE,TRUE,80
1_20_6,1.22313084262806,0.701242405414624,0.120063583559748,1.92360439897836,0.945643502860177,0.0167445347251657,0,0.03731104510296,0.502285573618499,0.97418330289006,1,98483.9280106216,0.150931119918823,21.8010179996491,6,20,1,1,120,FALSE,FALSE,
